,  Jpgrp , Jpgrp Name                           , #Jpg exs, #in Cust, #in Prod, #  Order, #    Opt, #   Link, # Source, 
,      5 , Dispute Resolution                   ,   18517 ,   18517 ,       0 ,       0 ,       0 ,       0 ,   18517 , 
,     11 , Immigration                          ,    5732 ,    5732 ,       0 ,       0 ,       0 ,       0 ,    5732 , 
,     16 , Law Firm Librarians                  ,     898 ,     898 ,       0 ,       0 ,       0 ,       0 ,     898 , 
,     22 , Other/Unknown Practice Areas         ,   27938 ,   27938 ,       0 ,       0 ,       0 ,       0 ,   27938 , 
,     23 , Pharmaceutical Litigation            ,    5086 ,    5086 ,       0 ,       0 ,       0 ,       0 ,    5086 , 
,     24 , All-HR                               ,    5551 ,    5551 ,       0 ,       0 ,       0 ,       0 ,    5551 , 
,     28 , All-Security                         ,    7734 ,    7734 ,       0 ,       0 ,       0 ,       0 ,    7734 , 
,     31 , Regulatory                           ,   14557 ,   14557 ,       0 ,       0 ,       0 ,       0 ,   14557 , 
,     33 , Education Law                        ,    4589 ,    4589 ,       0 ,       0 ,       0 ,       0 ,    4589 , 
,     34 , Legal All                            ,    2207 ,    2207 ,       0 ,       0 ,       0 ,       0 ,    2207 , 
,     37 , Smaller Firms Practice               ,   16778 ,   16778 ,       0 ,       0 ,       0 ,       0 ,   16778 , 
,     40 , Outsourcing                          ,     556 ,     556 ,       0 ,       0 ,       0 ,       0 ,     556 , 
,     45 , Government Affairs                   ,    5436 ,    5436 ,       0 ,       0 ,       0 ,       0 ,    5436 , 
,     62 , Pro Bono                             ,     497 ,     497 ,       0 ,       0 ,       0 ,       0 ,     497 , 
