jpg_id,jp_id
1,237
1,458
1,359
1,358
1,66
2,93
2,67
2,323
2,284
2,353
2,233
2,352
2,245
2,327
2,326
2,328
3,329
3,285
3,331
3,332
3,68
3,275
3,333
3,234
3,261
3,268
3,330
3,300
4,131
4,365
4,366
4,364
4,69
4,385
4,367
4,368
4,369
5,83
6,413
6,85
6,410
6,418
6,416
6,290
6,409
6,415
6,297
6,86
6,414
6,411
6,289
6,412
6,288
6,231
6,274
6,224
6,92
7,381
7,378
7,251
7,229
7,90
7,213
8,457
8,345
8,390
8,277
8,276
8,389
8,91
8,232
9,463
9,240
9,464
9,78
9,287
9,79
9,286
9,467
9,462
9,145
9,465
9,466
10,312
10,334
10,469
10,291
10,468
10,226
10,470
10,292
10,303
10,471
10,473
10,97
10,456
10,472
11,103
12,454
12,452
12,272
12,214
12,273
12,453
12,293
12,104
12,451
12,294
12,141
12,387
12,322
13,108
13,76
13,320
13,440
13,221
13,439
13,236
13,257
13,73
13,441
13,443
13,259
13,143
13,442
13,235
14,241
14,324
14,110
14,394
14,111
15,447
15,63
16,64
17,117
17,321
17,422
17,423
17,421
17,420
17,424
17,425
18,356
18,299
18,122
18,444
18,357
18,264
18,478
18,445
19,400
19,270
19,399
19,401
19,318
19,205
19,396
19,230
19,395
19,129
19,398
19,271
19,397
19,204
20,354
20,198
20,130
20,227
20,238
20,208
21,295
21,404
21,242
21,256
21,434
21,403
21,325
21,138
21,450
21,407
21,402
21,244
22,342
22,146
23,199
24,21
26,30
26,338
26,249
26,157
26,448
26,186
26,215
26,298
26,248
26,220
26,247
26,40
26,337
26,210
26,801
26,417
26,216
26,190
27,50
27,301
27,42
27,341
27,58
27,54
27,56
27,57
27,52
27,427
27,302
28,148
29,386
29,96
31,212
32,209
32,71
32,382
32,384
32,223
32,383
32,222
33,218
34,850
34,219
35,380
35,121
35,379
35,253
35,254
35,246
36,474
36,393
36,475
36,477
36,225
36,123
36,392
36,476
36,391
36,419
37,228
38,243
38,304
39,211
40,207
41,252
42,344
42,263
42,278
42,262
42,255
45,258
47,260
48,370
48,372
48,296
48,371
48,265
49,266
50,267
51,375
51,373
51,250
51,374
51,376
51,239
51,377
51,87
52,408
52,269
52,433
52,438
53,126
54,279
55,280
56,281
57,282
58,217
58,479
58,480
59,305
59,339
59,314
59,481
59,310
59,306
59,429
59,335
59,311
59,436
59,482
59,428
59,307
59,435
59,449
59,437
59,309
59,336
59,459
59,340
59,308
59,316
59,426
60,460
60,317
60,461
60,315
60,485
60,313
60,319
60,430
60,484
60,431
60,432
60,483
61,361
61,362
61,360
61,363
61,283
62,455
